FECHA,CANTIDAD,TIPO DE SERVICIO Especifico,TIPO DE SERVICIO General,DESCRIPCIÓN,COSTO x Uni,MONTO TOTAL
02/25/2025,1,Clases,Clases,Katherine Cristóbal (clases),202.5,202.5
02/25/2025,1,Personal Limpieza,Limpieza,Juan Carlos (operario),75,75
02/26/2025,1,Pisos,Limpieza,Binner sellador,64,64
02/27/2025,1,Empresa,Empresa,Impresiones,9,9
02/27/2025,1,Empresa,Empresa,"Bocadistos, gaseosa (para Luis)",7,7
02/27/2025,1,Personal Limpieza,Limpieza,Pago José,78,78
02/28/2025,1,Empresa,Empresa,02 mascarillas,25.6,25.6
02/28/2025,1,Personal Limpieza,Limpieza,Pago José,60,60
02/28/2025,1,Colchón,Limpieza,Lejía,11,11
02/28/2025,3,Empresa,Empresa,Pago AFP (incluye Essalud),128.48,385.44
02/28/2025,1,Personal Marketing,Marketing,Pago a Camila,732.44,732.44
02/28/2025,1,Empresa,Empresa,Pago ONP (incluye Essalud),146.9,146.9
02/28/2025,1,Empresa,Empresa,Banahosting - Hosting,300,300
02/28/2025,1,Empresa,Empresa,Namecheap - Hosting,300,300
02/28/2025,1,Empresa,Empresa,Sered - Hosting,100,100
02/28/2025,1,Empresa,Empresa,Nicalia - Hosting,160,160
02/28/2025,1,Empresa,Empresa,Imunify - Antivirus para Hosting,100,100
02/28/2025,1,Empresa,Empresa,Idroo,40,40
02/28/2025,1,Empresa,Empresa,Indeed,650,650
02/28/2025,2,Empresa,Empresa,Adobe,146,292
02/28/2025,1,Empresa,Empresa,Test Gorilla,430,430
02/28/2025,1,Empresa,Empresa,Chat Gtp,80,80
02/28/2025,2,Empresa,Empresa,Gemini,74,148
02/28/2025,1,Empresa,Empresa,Sueldo Marco,10000,10000
02/28/2025,1,Taxis,Limpieza,TAXIS FEBRERO,4024.4,4024.4
03/01/2025,1,Empresa,Empresa,"Bocadistos, gaseosa",38.7,38.7
03/01/2025,1,Empresa,Empresa,Pago del personal,"S/.11,189.30","S/.11,189.31"
03/03/2025,3,Pisos,Limpieza,Lejía galon sapolio,11,33
03/03/2025,3,Colchón,Limpieza,Lejía color Sapolio Galón,19,57
03/03/2025,1,Pisos,Limpieza,Bolsa 140 lt trapeado,35,35
03/03/2025,1,Pisos,Limpieza,Trapeador microfibr,52,52
03/03/2025,4,Pisos,Limpieza,Quitasarro galón,10,40
03/03/2025,1,Pisos,Limpieza,Cera galón,42,42
03/03/2025,1,Pisos,Limpieza,Guantes nitrilo,40,40
03/03/2025,1,Pisos,Limpieza,Masking,9.5,9.5
03/03/2025,6,Pisos,Limpieza,Remov Piso,29.9,179.4
03/03/2025,1,Pisos,Limpieza,Sellador B,64.9,64.9
03/03/2025,2,Pisos,Limpieza,Brocha,10.7,21.4
03/03/2025,2,Pisos,Limpieza,Rempis Binner,30.5,61
03/04/2025,1,Pisos,Limpieza,Insumos,12,12
03/04/2025,1,Pisos,Limpieza,Yoni removedor americano,100,100
03/04/2025,1,Empresa,Empresa,Devolución a Jesús,5,5
03/05/2025,1,Limpieza,Limpieza,gaseosa,10,10
03/06/2025,1,Empresa,Empresa,pastillas Diana,3.8,3.8
03/06/2025,1,Reparaciones,Reparaciones,Arreglo laptop,60,60
03/07/2025,45,Pisos,Limpieza,"Minipad (15 verdes, 15 marrones y 15 negros)",4,180
03/07/2025,1,Empresa,Empresa,Bocaditos para el compartir,44.06,44.06
03/07/2025,1,Personal Limpieza,Limpieza,Pago José,90,90
03/10/2025,5,Pisos,Limpieza,Binner sellador,30.54,152.7
03/10/2025,1,Pisos,Limpieza,insumos para pisos,13,13
03/10/2025,4,Pisos,Limpieza,Trapeador microfibr,52,208
03/10/2025,12,Pisos,Limpieza,microfib,7,84
03/10/2025,3,Colchón,Limpieza,Legia color galon,19,57
03/10/2025,1,Colchón,Limpieza,Legía galón,11,11
03/10/2025,1,Colchón,Limpieza,Esponja,15,15
03/10/2025,2,Pisos,Limpieza,Libre Enjuague,22,44
03/10/2025,1,Clases,Clases,Aldo,2263.15,2263.15
03/10/2025,1,Clases,Clases,Jorge Clases,1985.65,1985.65
03/10/2025,1,Colchón,Limpieza,Devolución a Cliente,194,194
03/10/2025,3,Empresa,Empresa,agua para operarios,1.5,4.5
03/10/2025,1,Personal Limpieza,Limpieza,pago a Noemi,80,80
03/10/2025,1,Empresa,Empresa,taxi Diana,14.5,14.5
03/10/2025,1,Empresa,Empresa,mascarillas,3,3
03/10/2025,1,Personal Limpieza,Limpieza,Pago Luis Miguel,508.5,508.5
03/10/2025,1,Clases,Clases,Profesora Celia,1218.75,1218.75
03/11/2025,1,Empresa,Empresa,Lonche de ayer (dos queques y 2 quaquer),9,9
03/14/2025,1,Colchón,Limpieza,shampoo para muebles y colchones,120,120
03/14/2025,1,Personal Limpieza,Limpieza,Pago Luis Miguel,240.13,240.13
03/15/2025,1,Personal Limpieza,Limpieza,Pago señora Rosa,900,900
03/15/2025,1,Personal Limpieza,Limpieza,Pago Jesús,750,750
03/15/2025,1,Empresa,Empresa,queques y gaseosa,18,18
03/17/2025,1,Pisos,Limpieza,Insumo para muebles y pisos,366,366
03/17/2025,2,Empresa,Empresa,blister de voriconazol,100,260
03/17/2025,1,Pisos,Limpieza,Insumo para muebles y pisos,13,13
03/17/2025,1,Pisos,Limpieza,"chema clea, mas ",88.9,88.9
03/17/2025,1,Empresa,Empresa,Google Ads,3794.46,7800.71
03/17/2025,10,Pisos,Limpieza,pad marca americo,30,300
03/18/2025,2,Pisos,Limpieza,Ceras negras,11.8,23.6
03/18/2025,1,Empresa,Empresa,hamburguesa,25,25
03/18/2025,1,Abogados,Abogados,Abogada Jenireth Cristina,95,95
03/18/2025,1,Clases,Clases,Profesor Jorge Fernandez,1082.5,1082.5
03/18/2025,1,Empresa,Empresa,Local,2550,2550
03/19/2025,4,Medicamento,Medicamento,Rituximab,1000,4000
03/19/2025,1,Empresa,Empresa,Torta,39.59,39.59
03/19/2025,1,Empresa,Empresa,gaseosa,12.2,12.2
03/19/2025,1,Empresa,Empresa,Bocaditos para el compartir,24.8,24.8
03/19/2025,1,Abogados,Abogados,Abogada Jenireth Cristina,450,450
03/20/2025,1,Empresa,Empresa,gaseosa,12,12
03/20/2025,1,Pisos,Limpieza,cera,8,8
03/20/2025,1,Personal Limpieza,Limpieza,Pago José,60,60
03/20/2025,7,Pisos,Limpieza,removedor pisos,19.93,139.51
03/20/2025,1,Pisos,Limpieza,pads para pisos,247.2,247.2
03/20/2025,1,Personal Marketing,Marketing,Comisión Mario,220,220
03/20/2025,2,Pisos,Limpieza,removedor pisos,19.93,39.86
03/24/2025,1,Pisos,Limpieza,insumos para pisos,13,13
03/24/2025,1,Clases,Clases,Profesor Jorge Fernandez,652.5,652.5
03/24/2025,1,Clases,Clases,Profesora Katherine,67.5,67.5
03/24/2025,1,Clases,Clases,Profesor Jackson Rojo,180,180
03/24/2025,1,Clases,Clases,Profesora Lizbeth,75,75
03/25/2025,1,Pisos,Limpieza,insumos para pisos,13,13
03/26/2025,1,Empresa,Empresa,gaseosa,12.6,12.6
03/26/2025,3,Empresa,Empresa,queques y gaseosa,2.5,7.5
03/26/2025,4,Pisos,Limpieza,pad blanco y rojo grande,30,120
03/27/2025,1,Reparaciones,Reparaciones,reparación de aspiradoras,100,100
03/28/2025,1,Medicamento,Medicamento,Rituximab,1099,1099
03/28/2025,1,Empresa,Empresa,Pastillas para Luis Miguel,2.5,2.5
03/31/2025,6,Colchón,Limpieza,Lejia color galon sapolio,19,114
03/31/2025,2,Colchón,Limpieza,Lejia galon sapolio,11,22
03/31/2025,2,Colchón,Limpieza,suavitel doypack,22,44
03/31/2025,2,Colchón,Limpieza,silicona cuero spray,14,28
03/31/2025,2,Colchón,Limpieza,soda caustica,14,28
03/31/2025,1,Colchón,Limpieza,Trapeador microfibr,52,52
03/31/2025,1,Clases,Clases,Profesora Celia,437.5,437.5
03/31/2025,1,Pisos,Limpieza,TAXIS MARZO,3042.5,3042.5
03/30/2025,1,Empresa,Empresa,Sueldo Marco,10000,10000
03/30/2025,3,Empresa,Empresa,Pago AFP (incluye Essalud),128.48,385.44
03/30/2025,1,Empresa,Empresa,Pago ONP (incluye Essalud),146.9,146.9
03/30/2025,1,Hosting,Empresa,Banahosting - Hosting,300,300
03/30/2025,1,Hosting,Empresa,Namecheap - Hosting,300,300
03/30/2025,1,Hosting,Empresa,Sered - Hosting,100,100
03/30/2025,1,Hosting,Empresa,Nicalia - Hosting,160,160
03/30/2025,1,Hosting,Empresa,Imunify - Antivirus para Hosting,100,100
03/30/2025,1,Clases,Empresa,Idroo,40,40
03/30/2025,1,Empresa,Empresa,Indeed,650,650
03/30/2025,2,Empresa,Empresa,Adobe,146,292
03/30/2025,1,IA,Empresa,Test Gorilla,430,430
03/30/2025,1,IA,Empresa,Chat Gtp,80,80
03/30/2025,2,IA,Empresa,Gemini,74,148
03/30/2025,1,Personal Limpieza,Limpieza,Pago a Truly,60,60
03/30/2025,1,Personal Marketing,Marketing,Pago a Camila,650,650
03/30/2025,1,Personal Marketing,Empresa,Pago Mario,1302.77,1302.77
03/30/2025,1,Personal Marketing,Empresa,Pago Saul,1082.46,1082.46
03/30/2025,1,Personal Ventas,Empresa,Pago Navid,2301.84,2301.84
03/30/2025,1,Personal Ventas,Empresa,Pago Diana,2128.12,2301.84
03/30/2025,1,Personal Ventas,Empresa,Pago Ever,919.38,919.38
03/30/2025,1,Personal Limpieza,Limpieza,Pago Jesús,552.04,552.04
03/30/2025,1,Personal Limpieza,Limpieza,Pago Rosa,855.6,855.6
03/30/2025,1,Personal Marketing,Empresa,Pago Harumi,1537.5,1537.5
03/30/2025,1,Personal Limpieza,Limpieza,Pago Luis Miguel,489.67,489.67
04/02/2025,1,Empresa,Empresa,Pastillas y Frutiflex para Ever,11.8,11.8
04/02/2025,1,Abogados,Abogados,Abogada Jenireth Cristina,145,145
04/02/2025,1,Personal Limpieza,Limpieza,Pago José,60,60
04/03/2025,1,Empresa,Empresa,Pago de Celulares,120,120
04/04/2025,1,Empresa,Limpieza,queques y gaseosa,22.1,22.1
04/04/2025,4,Baño,Limpieza,Aroma spray sapolio,7,28
04/04/2025,4,Pisos,Limpieza,Premio spray lavanda,10,40
04/04/2025,3,Pisos,Limpieza,Limpiatodo dkasa Galon,12,36
04/04/2025,1,Cocina,Limpieza,Lavavajilla ayudin,13,13
04/04/2025,2,Pisos,Limpieza,Cera Balde tekno pasta,45,90
04/04/2025,3,Pisos,Limpieza,Trapeador Microfibra,52,156
04/04/2025,2,Pisos,Limpieza,Escoba,13,26
04/04/2025,7,Pisos,Limpieza,Paño microfibra,7,49
04/04/2025,1,Colchón,Limpieza,Esponja Carmelita,13,13
04/07/2025,1,Empresa,Limpieza,Almuerzo y gaseosa,34,34
04/08/2025,1,Pisos,Limpieza,Insumos de Pisos,304.1,304.1
04/08/2025,6,Pisos,Limpieza,Bolsas,4.91,29.46
04/08/2025,10,Pisos,Limpieza,Pad Marrón de 17 pulgadas,30,300
04/08/2025,10,Pisos,Limpieza,Minipad marrón,4,40
04/08/2025,1,Pisos,Limpieza,Restaurador de arañazos en madera,25,25
04/08/2025,1,Clases,Clases,Profesor Wilmer,550,550
04/08/2025,1,Clases,Clases,Profesor Jorge Fernandez,1282.5,1282.5
04/08/2025,1,Clases,Clases,Profesora Katherine,90,90
04/08/2025,1,Clases,Clases,Profesora Melisa,137.5,137.5
04/08/2025,1,Pisos,Limpieza,Insumo para pisos,304.1,304.1
04/08/2025,1,Pisos,Limpieza,6 bolsas,29.5,29.5
04/08/2025,1,Personal Ventas,Empresa,Pago Ever,143.53,143.53
04/08/2025,1,Empresa,Empresa,Pasaje para insumos,19,19
04/09/2025,1,Personal Limpieza,Limpieza,Pago Juan Carlos,80,80
04/09/2025,1,Personal Limpieza,Limpieza,Visita técnica de fachada a Jorge,10,10
04/09/2025,1,Empresa,Empresa,Pago al Contador,165,165
04/09/2025,1,Empresa,Empresa,Gaseosa,9.5,9.5
04/09/2025,1,Personal Limpieza,Limpieza,Pago Juan Carlos,70,70
04/10/2025,1,Abogados,Abogados,Abogada Jenireth Cristina,195,195
04/10/2025,4,Pisos,Limpieza,Pad rojo y blanco ,30,120
04/10/2025,20,Pisos,Limpieza,Minipad de 3 pulgadas,4,80
04/11/2025,2,Medicamento,Medicamento,Rituximab 500mg ,1175,2350
04/11/2025,2,Medicamento,Medicamento,Voriconazol,100,200
04/11/2025,1,Empresa,Empresa,Gaseosa y pasaje para insumos,22.5,22.5
04/11/2025,11,Pisos,Limpieza,Binner remover,30.34,333.74
04/12/2025,1,Personal Limpieza,Limpieza,Pago José,60,60
04/12/2025,1,Empresa,Empresa,"Plumones, lapiceros y cinta para oficina",20.43,20.43
