FECHA;CANTIDAD;TIPO DE SERVICIO Especifico;TIPO DE SERVICIO General;DESCRIPCIÓN;COSTO x Uni;MONTO TOTAL;;;;;;;;;;;;;;;
15/4/2025;1;Personal Limpieza;Limpieza;Pago Rosa;900;900;;;;;;;;;;;;;;;
16/4/2025;4;Cocina;Limpieza;Sacagrasas galon;10;40;;;;;;;;;;;;;;;
16/4/2025;4;Cocina;Limpieza;Quitagrasa galon ;52;208;;;;;;;;;;;;;;;
16/4/2025;10;Colchón;Limpieza;Paño Microfibra;7;70;;;;;;;;;;;;;;;
16/4/2025;4;Baño;Limpieza;Aroma spray sapolio;7;28;;;;;;;;;;;;;;;
16/4/2025;1;Pisos;Limpieza;Libre enjuague suavitel;22;22;;;;;;;;;;;;;;;
16/4/2025;1;Colchón;Limpieza;Detergente doffy;7;7;;;;;;;;;;;;;;;
16/4/2025;1;Colchón;Limpieza;Esponja 2 en 1 Dkasa;13;13;;;;;;;;;;;;;;;
16/4/2025;1;Pisos;Limpieza;Bolsa 26x;12;12;;;;;;;;;;;;;;;
16/4/2025;1;Colchón;Limpieza;Esponja Carmelita;14;14;;;;;;;;;;;;;;;
16/4/2025;3;Colchón;Limpieza;Lejiia Galon sapolio ;11;33;;;;;;;;;;;;;;;
16/4/2025;10;Pisos;Limpieza;Removedor piso madera  laminado;21.099;210.99;;;;;;;;;;;;;;;
16/4/2025;1;Abogados;Abogados;Abogada Jenireth Cristina;160;160;;;;;;;;;;;;;;;
16/4/2025;1;Colchón;Limpieza;Pico de pato para aspiradora;70;70;;;;;;;;;;;;;;;
16/4/2025;3;Medicamento;Medicamento;trastuzumab;733.3333333;2200;;;;;;;;;;;;;;;
18/4/2025;1;Empresa;Empresa;Local;2550;2550;;;;;;;;;;;;;;;
21/4/2025;1;Clases;Clases;Profesor Jackson Rojo;112.5;112.5;;;;;;;;;;;;;;;
21/4/2025;1;Clases;Clases;Profesora Katherine;180;180;;;;;;;;;;;;;;;
21/4/2025;1;Clases;Clases;Profesor Jorge Fernandez;1440;1440;;;;;;;;;;;;;;;
21/4/2025;1;Clases;Clases;Profesor Brandon Bolívar;240;240;;;;;;;;;;;;;;;
22/4/2025;1;Abogados;Abogados;Abogada Jenireth Cristina;410;410;;;;;;;;;;;;;;;
23/4/2025;1;Personal Ventas;Empresa;Pago Ruth;803;803;;;;;;;;;;;;;;;
24/4/2025;1;Reparaciones;Reparaciones;Reparación para la laptop de ventas;270;270;;;;;;;;;;;;;;;
30/4/2025;1;Personal Ventas;Empresa;Pago Navid;2117.11;2117.11;;;;;;;;;;;;;;;
30/4/2025;1;Personal Ventas;Empresa;Pago Daniela;1642.51;1642.51;;;;;;;;;;;;;;;
30/4/2025;1;Personal Limpieza;Limpieza;Pago Luis Miguel;348.46;348.46;;;;;;;;;;;;;;;
30/4/2025;1;Personal Limpieza;Limpieza;Pago Jesús;701.1;701.1;;;;;;;;;;;;;;;
30/4/2025;1;Personal Limpieza;Limpieza;Pago Rosa;756.85;756.85;;;;;;;;;;;;;;;
30/4/2025;1;Personal Marketing;Empresa;Pago Harumi;1672.86;1672.86;;;;;;;;;;;;;;;
30/4/2025;1;Personal Marketing;Empresa;Pago Mario;1396.52;1396.52;;;;;;;;;;;;;;;
30/4/2025;1;Personal Marketing;Empresa;Pago Saul;1103.29;1103.29;;;;;;;;;;;;;;;
30/4/2025;1;Personal Marketing;Marketing;Pago Camila;732.44;732.44;;;;;;;;;;;;;;;
30/4/2025;1;Empresa;Empresa;Sueldo Marco;10000;10000;;;;;;;;;;;;;;;
30/4/2025;1;Clases;Clases;Google Ads;3487.07;3487.07;;;;;;;;;;;;;;;
30/4/2025;1;Marketing;Marketing;Google Ads;1659.4;1659.4;;;;;;;;;;;;;;;
30/4/2025;1;Pisos;Limpieza;Google Ads;525.7;525.7;;;;;;;;;;;;;;;
30/4/2025;1;Inmueble;Limpieza;Google Ads;2686.78;2686.78;;;;;;;;;;;;;;;
30/4/2025;1;Colchón;Limpieza;Google Ads;1622.23;1622.23;;;;;;;;;;;;;;;
30/4/2025;1;Mueble;Limpieza;Google Ads;773.36;773.36;;;;;;;;;;;;;;;
30/4/2025;4;Empresa;Empresa;Pago AFP (incluye Essalud);128.48;513.92;;;;;;;;;;;;;;;
30/4/2025;1;Empresa;Empresa;Pago ONP (incluye Essalud);146.9;146.9;;;;;;;;;;;;;;;
30/4/2025;1;Hosting;Empresa;Banahosting - Hosting;300;300;;;;;;;;;;;;;;;
30/4/2025;1;Hosting;Empresa;Namecheap - Hosting;300;300;;;;;;;;;;;;;;;
30/4/2025;1;Hosting;Empresa;Sered - Hosting;100;100;;;;;;;;;;;;;;;
30/4/2025;1;Hosting;Empresa;Nicalia - Hosting;160;160;;;;;;;;;;;;;;;
30/4/2025;1;Hosting;Empresa;Imunify - Antivirus para Hosting;100;100;;;;;;;;;;;;;;;
30/4/2025;1;Clases;Clases;Idroo;40;40;;;;;;;;;;;;;;;
30/4/2025;1;Empresa;Empresa;Indeed;650;650;;;;;;;;;;;;;;;
30/4/2025;2;Diseño;Empresa;Adobe;146;292;;;;;;;;;;;;;;;
30/4/2025;1;Empresa;Empresa;Test Gorilla;430;430;;;;;;;;;;;;;;;
30/4/2025;1;IA;Empresa;Chat Gtp;80;80;;;;;;;;;;;;;;;
30/4/2025;2;IA;Empresa;Gemini;74;148;;;;;;;;;;;;;;;
30/4/2025;1;Taxis;Limpieza;TAXIS ABRIL;2107.2;2107.2;;;;;;;;;;;;;;;
30/4/2025;1;Empresa;Empresa;Contador;165;165;;;;;;;;;;;;;;;
2/5/2025;5;Colchón;Limpieza;Lejia color galon sapolio;19;95;;;;;;;;;;;;;;;
2/5/2025;1;Colchón;Limpieza;Lejia galon sapolio;11;11;;;;;;;;;;;;;;;
2/5/2025;3;Pisos;Limpieza;Trapeador microfibra ;52;156;;;;;;;;;;;;;;;
2/5/2025;1;Colchón;Limpieza;Suavitel doypack;22;22;;;;;;;;;;;;;;;
2/5/2025;2;Baño;Limpieza;Limpia inodoro wc;9;18;;;;;;;;;;;;;;;
2/5/2025;1;Colchón;Limpieza;Guantes verde nitrilo;40;40;;;;;;;;;;;;;;;
5/5/2025;1;Clases;Clases;Profesora Lizbeth;337.5;337.5;;;;;;;;;;;;;;;
5/5/2025;1;Clases;Clases;Profesora Katherine;292.5;292.5;;;;;;;;;;;;;;;
5/5/2025;1;Clases;Clases;Profesora Celia;1232.5;1232.5;;;;;;;;;;;;;;;
6/5/2025;1;Clases;Clases;Profesor Jorge Fernandez;1800;1800;;;;;;;;;;;;;;;
10/5/2025;1;Personal Limpieza;Limpieza;Pago Juan Carlos;70;70;;;;;;;;;;;;;;;
12/5/2025;3;Colchón;Limpieza;Lejia color galon sapolio;19;57;;;;;;;;;;;;;;;
12/5/2025;4;Colchón;Limpieza;Lejia galon sapolio;11;44;;;;;;;;;;;;;;;
12/5/2025;5;Colchón;Limpieza;Premio spray lavanda;10;50;;;;;;;;;;;;;;;
12/5/2025;3;Baño;Limpieza;wc frasco inodoro;9;27;;;;;;;;;;;;;;;
12/5/2025;1;Colchón;Limpieza;Cif crema frasco;13;13;;;;;;;;;;;;;;;
12/5/2025;5;Baño;Limpieza;Aroma spray sapolio;7;35;;;;;;;;;;;;;;;
12/5/2025;10;Colchón;Limpieza;Paño x 4 unid microfibra;7;70;;;;;;;;;;;;;;;
12/5/2025;4;Pisos;Limpieza;Trapeador microfibra;52;208;;;;;;;;;;;;;;;
12/5/2025;1;Clases;Clases;Profesor Brandon Bolívar;360;360;;;;;;;;;;;;;;;
13/5/2025;1;Clases;Clases;Profesor Jackson Rojo;225;225;;;;;;;;;;;;;;;
13/5/2025;1;Empresa;Empresa;Suscripcion de autoresponder.ai;150;150;;;;;;;;;;;;;;;
14/5/2025;1;Empresa;Empresa;Cuaderno;15;15;;;;;;;;;;;;;;;
14/5/2025;2;Medicamento;Medicamento;Voriconazol ;100;200;;;;;;;;;;;;;;;
15/5/2025;1;Personal Limpieza;Limpieza;Pago Luis Miguel;565;565;;;;;;;;;;;;;;;
15/5/2025;1;Personal Limpieza;Limpieza;Pago Jesús;775;775;;;;;;;;;;;;;;;
15/5/2025;1;Personal Limpieza;Limpieza;Pago Rosa;900;900;;;;;;;;;;;;;;;
16/5/2025;1;Personal Limpieza;Limpieza;Pago Erika;60;60;;;;;;;;;;;;;;;
16/5/2025;1;Personal Limpieza;Limpieza;Pago Juan Carlos;75;75;;;;;;;;;;;;;;;
16/5/2025;2;Medicamento;Medicamento;Voriconazol ;100;200;;;;;;;;;;;;;;;
18/5/2025;1;Empresa;Empresa;Local;2550;2550;;;;;;;;;;;;;;;
19/5/2025;1;Clases;Clases;Profesor Jorge Fernandez;1335;1335;;;;;;;;;;;;;;;
19/5/2025;1;Clases;Clases;Profesora Katherine;435;435;;;;;;;;;;;;;;;
19/5/2025;1;Clases;Clases;Profesor Jackson Rojo;225;225;;;;;;;;;;;;;;;
19/5/2025;1;Clases;Clases;Profesor Miguel Pareja;112.5;112.5;;;;;;;;;;;;;;;
19/5/2025;1;Clases;Clases;Profesor Martin;150;150;;;;;;;;;;;;;;;
19/5/2025;1;Empresa;Empresa;Cuaderno para Visitas;15;15;;;;;;;;;;;;;;;
21/5/2025;1;Empresa;Empresa;Gaseosa y almuerzo;36.6;36.6;;;;;;;;;;;;;;;
21/5/2025;1;Personal Limpieza;Limpieza;Pago José;60;60;;;;;;;;;;;;;;;
26/5/2025;1;Pisos;Limpieza;Resina Negra;140;140;;;;;;;;;;;;;;;
26/5/2025;1;Clases;Clases;Profesora Melisa;225;225;;;;;;;;;;;;;;;
26/5/2025;1;Clases;Clases;Profesora Lizbeth;337.5;337.5;;;;;;;;;;;;;;;
27/5/2025;8;Colchón;Limpieza;Paño x 4 unid microfibra;7;56;;;;;;;;;;;;;;;
27/5/2025;1;Pisos;Limpieza;Alambrado;20;20;;;;;;;;;;;;;;;
27/5/2025;1;Colchón;Limpieza;Esponja viruta;13;13;;;;;;;;;;;;;;;
27/5/2025;2;Pisos;Limpieza;Trapeador microfibra;52;104;;;;;;;;;;;;;;;
27/5/2025;1;Pisos;Limpieza;bolsa liso ;18;18;;;;;;;;;;;;;;;
27/5/2025;2;Colchón;Limpieza;Lejia color galon sapolio;19;38;;;;;;;;;;;;;;;
27/5/2025;2;Colchón;Limpieza;Lejia galon sapolio;11;22;;;;;;;;;;;;;;;
27/5/2025;3;Pisos;Limpieza;Cif crema frasco;12;36;;;;;;;;;;;;;;;
27/5/2025;15;Pisos;Limpieza;Antihongos sapolio;12;180;;;;;;;;;;;;;;;
27/5/2025;2;Baño;Limpieza;Frasco wc inodoro;9;18;;;;;;;;;;;;;;;
27/5/2025;2;Pisos;Limpieza;Frasco x 2 litros;15;30;;;;;;;;;;;;;;;
27/5/2025;3;Pisos;Limpieza;Soda caustica;12;36;;;;;;;;;;;;;;;
27/5/2025;3;Baño;Limpieza;Quitasarro galon;10;30;;;;;;;;;;;;;;;
27/5/2025;5;Baño;Limpieza;Aroma spray sapolio;6;30;;;;;;;;;;;;;;;
27/5/2025;3;Pisos;Limpieza;Premio spray lavanda;10;30;;;;;;;;;;;;;;;
27/5/2025;1;Pisos;Limpieza;Lavavajilla ayudin;12;12;;;;;;;;;;;;;;;
27/5/2025;2;Colchón;Limpieza;Suavitel doypack;21;42;;;;;;;;;;;;;;;
27/5/2025;1;Pisos;Limpieza;Guantes verde nitrilo;40;40;;;;;;;;;;;;;;;
29/5/2025;1;Pisos;Limpieza;Chema Remover;22.9;22.9;;;;;;;;;;;;;;;
29/5/2025;12;Pisos;Limpieza;Binner remover;14.6;175.2;;;;;;;;;;;;;;;
29/5/2025;1;Taxis;Limpieza;TAXIS MAYO;2191.4;2191.4;;;;;;;;;;;;;;;
29/5/2025;1;Empresa;Empresa;Contador;165;165;;;;;;;;;;;;;;;
30/5/2025;1;Clases;Clases;Google Ads;2638.87;3694.418;;;;;;;;;;;;;;;
30/5/2025;1;Pisos;Limpieza;Google Ads;624.34;874.076;;;;;;;;;;;;;;;
30/5/2025;1;Colchón;Limpieza;Google Ads;838.9;1174.46;;;;;;;;;;;;;;;
30/5/2025;1;Mueble;Limpieza;Google Ads;342.565;479.591;;;;;;;;;;;;;;;
30/5/2025;1;Cocina;Limpieza;Google Ads;279.8;391.72;;;;;;;;;;;;;;;
30/5/2025;1;Alfombra;Limpieza;Google Ads;342.565;479.591;;;;;;;;;;;;;;;
30/5/2025;1;Baño;Limpieza;Google Ads;279.8;391.72;;;;;;;;;;;;;;;
30/5/2025;1;Inmueble;Limpieza;Google Ads;2630.93;3683.302;;;;;;;;;;;;;;;
30/5/2025;1;Ventanas;Limpieza;Google Ads;279.8;391.72;;;;;;;;;;;;;;;
30/5/2025;1;Marketing;Marketing;Google Ads;402.3;563.22;;;;;;;;;;;;;;;
30/5/2025;1;Hosting;Empresa;Banahosting - Hosting;300;300;;;;;;;;;;;;;;;
30/5/2025;1;Hosting;Empresa;Namecheap - Hosting;300;300;;;;;;;;;;;;;;;
30/5/2025;1;Hosting;Empresa;Sered - Hosting;100;100;;;;;;;;;;;;;;;
30/5/2025;1;Hosting;Empresa;Nicalia - Hosting;160;160;;;;;;;;;;;;;;;
30/5/2025;1;Hosting;Empresa;Imunify - Antivirus para Hosting;100;100;;;;;;;;;;;;;;;
30/5/2025;1;Personal Ventas;Empresa;Pago Navid;1798.61;1798.61;;;;;;;;;;;;;;;
30/5/2025;1;Personal Ventas;Empresa;Pago Daniela;1642.51;1642.51;;;;;;;;;;;;;;;
30/5/2025;1;Personal Ventas;Empresa;Pago Isabella;559.43;559.43;;;;;;;;;;;;;;;
30/5/2025;1;Personal Ventas;Empresa;Pago Andrea;660.36;660.36;;;;;;;;;;;;;;;
30/5/2025;1;Personal Limpieza;Limpieza;Pago Luis Miguel;470.27;470.27;;;;;;;;;;;;;;;
30/5/2025;1;Personal Limpieza;Limpieza;Pago Jesús;368.81;368.81;;;;;;;;;;;;;;;
30/5/2025;1;Personal Limpieza;Limpieza;Pago Rosa;715.6;715.6;;;;;;;;;;;;;;;
30/5/2025;1;Personal Marketing;Empresa;Pago Harumi;1596.52;1596.52;;;;;;;;;;;;;;;
30/5/2025;1;Personal Marketing;Empresa;Pago Mario;1412.15;1412.15;;;;;;;;;;;;;;;
30/5/2025;1;Personal Marketing;Empresa;Pago Saul;1090.27;1090.27;;;;;;;;;;;;;;;
30/5/2025;1;Personal Marketing;Marketing;Pago Camila;675.19;675.19;;;;;;;;;;;;;;;
30/5/2025;1;Empresa;Empresa;Sueldo Marco;10000;10000;;;;;;;;;;;;;;;
30/5/2025;1;Clases;Clases;Idroo;40;40;;;;;;;;;;;;;;;
30/5/2025;1;Empresa;Empresa;Indeed;650;650;;;;;;;;;;;;;;;
30/5/2025;2;Diseño;Empresa;Adobe;146;292;;;;;;;;;;;;;;;
30/5/2025;1;Empresa;Empresa;Test Gorilla;430;430;;;;;;;;;;;;;;;
30/5/2025;1;IA;Empresa;Chat Gtp;80;80;;;;;;;;;;;;;;;
30/5/2025;2;IA;Empresa;Gemini;74;148;;;;;;;;;;;;;;;
30/5/2025;1;IA;Empresa;Claude;80;80;;;;;;;;;;;;;;;
30/5/2025;5;Beneficios Sociales;Empresa;Pago AFP (incluye Essalud);128.48;642.4;;;;;;;;;;;;;;;
30/5/2025;1;Beneficios Sociales;Empresa;Pago ONP (incluye Essalud);146.9;146.9;;;;;;;;;;;;;;;
30/5/2025;1;Diseño;Empresa;Ideogram;80;80;;;;;;;;;;;;;;;
30/5/2025;1;Diseño;Empresa;MidJourney;40;40;;;;;;;;;;;;;;;
30/5/2025;1;Abogados;Abogados;Abogada Jenireth Cristina;195;195;;;;;;;;;;;;;;;
31/5/2025;1;Personal Limpieza;Limpieza;Pago Juan Carlos;70;70;;;;;;;;;;;;;;;
2/6/2025;2;Medicamento;Medicamento;temozolamida;1100;2200;;;;;;;;;;;;;;;
3/6/2025;5;Pisos;Limpieza;Binner remover;29.9;149.5;;;;;;;;;;;;;;;
7/6/2025;1;Abogados;Abogados;Abogada Jenireth Cristina;145;145;;;;;;;;;;;;;;;
6/6/2025;1;Personal Limpieza;Limpieza;Pago Juan Carlos;70;70;;;;;;;;;;;;;;;
9/6/2025;1;Personal Limpieza;Limpieza;Pago José;60;60;;;;;;;;;;;;;;;
9/6/2025;1;Clases;Clases;Profesora Melisa;187.5;187.5;;;;;;;;;;;;;;;
9/6/2025;1;Clases;Clases;Profesor Martin;225;225;;;;;;;;;;;;;;;
10/6/2025;1;Clases;Clases;Profesora Lizbeth;375.5;375.5;;;;;;;;;;;;;;;
10/6/2025;1;Clases;Clases;Profesor Leonardo;225;225;;;;;;;;;;;;;;;
11/6/2025;3;Medicamento;Medicamento;Trastuzumab ;800;2400;;;;;;;;;;;;;;;
12/6/2025;1;Psicologo;Psicologo;Psicologa Ysabel;150;150;;;;;;;;;;;;;;;
15/6/2025;1;Personal Limpieza;Limpieza;Pago Jesús;775;775;;;;;;;;;;;;;;;
15/6/2025;1;Personal Limpieza;Limpieza;Pago Rosa;900;900;;;;;;;;;;;;;;;
15/6/2025;1;Personal Limpieza;Limpieza;Pago Luis Miguel;565;565;;;;;;;;;;;;;;;
15/6/2025;1;Personal Limpieza;Limpieza;Pago Erika;60;60;;;;;;;;;;;;;;;
16/6/2025;1;Clases;Clases;Profesora Lizbeth;450;450;;;;;;;;;;;;;;;
16/6/2025;1;Clases;Clases;Profesora Melisa;225;225;;;;;;;;;;;;;;;
16/6/2025;1;Clases;Clases;Profesora Katherine;427.5;427.5;;;;;;;;;;;;;;;
16/6/2025;1;Clases;Clases;Profesor Jorge Fernandez;1777.5;1777.5;;;;;;;;;;;;;;;
17/6/2025;1;Medicamento;Medicamento;trastuzumab;800;800;;;;;;;;;;;;;;;
17/6/2025;3;Medicamento;Medicamento;voriconazol;100;300;;;;;;;;;;;;;;;
17/6/2025;1;Clases;Clases;Profesor Luis Angel;37.5;37.5;;;;;;;;;;;;;;;
17/6/2025;1;Abogados;Abogados;Abogada Jenireth Cristina;200;200;;;;;;;;;;;;;;;
18/6/2025;1;Empresa;Empresa;Local;2550;2550;;;;;;;;;;;;;;;
18/6/2025;1;Reparaciones;Reparaciones;Reparación de sillas;50;50;;;;;;;;;;;;;;;
18/6/2025;1;Empresa;Empresa;Contador;165;165;;;;;;;;;;;;;;;
19/6/2025;3;Inmueble;Limpieza;Trapeador microfibra;52;156;;;;;;;;;;;;;;;
19/6/2025;1;Inmueble;Limpieza;Guantes nitrilo ;40;40;;;;;;;;;;;;;;;
19/6/2025;1;Inmueble;Limpieza;Bolsa Mascarilla;10;10;;;;;;;;;;;;;;;
19/6/2025;2;Pisos;Limpieza;Lejia color galon sapolio;19;38;;;;;;;;;;;;;;;
19/6/2025;2;Pisos;Limpieza;Cif crema frasco;13;26;;;;;;;;;;;;;;;
19/6/2025;5;Pisos;Limpieza;Aroma spray sapolio;7;35;;;;;;;;;;;;;;;
19/6/2025;1;Ventanas;Limpieza;Lavavajilla ayudin;15;15;;;;;;;;;;;;;;;
19/6/2025;1;Ventanas;Limpieza;Limpia vidrio galon;15;15;;;;;;;;;;;;;;;
19/6/2025;2;Colchón;Limpieza;Libre enjuague suavitel;21;42;;;;;;;;;;;;;;;
19/6/2025;1;Colchón;Limpieza;Esponja Carmelita alambrado;18;18;;;;;;;;;;;;;;;
19/6/2025;4;Inmueble;Limpieza;Pads grandes;30;120;;;;;;;;;;;;;;;
19/6/2025;1;Personal Limpieza;Limpieza;Pago José;60;60;;;;;;;;;;;;;;;
20/6/2025;1;Personal Limpieza;Limpieza;Pago José;60;60;;;;;;;;;;;;;;;
23/6/2025;1;Clases;Clases;Profesor Leonardo;37.5;37.5;;;;;;;;;;;;;;;
23/6/2025;1;Clases;Clases;Profesor Martin;525;525;;;;;;;;;;;;;;;
23/6/2025;1;Clases;Clases;Profesora Lizbeth;412.5;412.5;;;;;;;;;;;;;;;
23/6/2025;1;Medicamento;Medicamento;Profesor Miguel Pareja;93.75;93.75;;;;;;;;;;;;;;;
23/6/2025;1;Personal Ventas;Empresa;Pago Isabella;521.62;521.62;;;;;;;;;;;;;;;
24/6/2025;1;Personal Limpieza;Limpieza;Operario Noemí;65;65;;;;;;;;;;;;;;;
24/6/2025;3;Medicamento;Medicamento;Capecitabina;12;36;;;;;;;;;;;;;;;
25/6/2025;1;Medicamento;Medicamento;voriconazol;100;100;;;;;;;;;;;;;;;
25/6/2025;1;Hosting;Empresa;Dominios .com y .net etc;183.75;183.75;;;;;;;;;;;;;;;
25/6/2025;1;Hosting;Empresa;Dominios .online;11.25;11.25;;;;;;;;;;;;;;;
25/6/2025;1;Hosting;Empresa;Namecheap - Hosting;25;25;;;;;;;;;;;;;;;
25/6/2025;1;Empresa;Empresa;Kaspersky Antivirus;25;25;;;;;;;;;;;;;;;
25/6/2025;1;Empresa;Empresa;Sueldo Marco;10000;10000;;;;;;;;;;;;;;;
25/6/2025;1;Clases;Clases;Idroo;40;40;;;;;;;;;;;;;;;
25/6/2025;1;Empresa;Empresa;Indeed;650;650;;;;;;;;;;;;;;;
25/6/2025;2;Diseño;Empresa;Adobe;146;292;;;;;;;;;;;;;;;
25/6/2025;1;Empresa;Empresa;Test Gorilla;430;430;;;;;;;;;;;;;;;
25/6/2025;1;IA;Empresa;Chat Gtp;80;80;;;;;;;;;;;;;;;
25/6/2025;2;IA;Empresa;Gemini;74;148;;;;;;;;;;;;;;;
25/6/2025;1;IA;Empresa;Claude;80;80;;;;;;;;;;;;;;;
25/6/2025;4;Beneficios Sociales;Empresa;Pago AFP (incluye Essalud);128.48;513.92;;;;;;;;;;;;;;;
25/6/2025;1;Beneficios Sociales;Empresa;Pago ONP (incluye Essalud);146.9;146.9;;;;;;;;;;;;;;;
25/6/2025;1;Diseño;Empresa;Ideogram;80;80;;;;;;;;;;;;;;;
25/6/2025;1;Hosting;Empresa;Banahosting - Hosting;300;300;;;;;;;;;;;;;;;
25/6/2025;1;Hosting;Empresa;Namecheap - Hosting;300;300;;;;;;;;;;;;;;;
25/6/2025;1;Hosting;Empresa;Sered - Hosting;100;100;;;;;;;;;;;;;;;
25/6/2025;1;Hosting;Empresa;Nicalia - Hosting;160;160;;;;;;;;;;;;;;;
25/6/2025;1;Hosting;Empresa;Imunify - Antivirus para Hosting;100;100;;;;;;;;;;;;;;;
27/6/2025;2;Personal Limpieza;Limpieza;Operario Noemí y Ana;50;100;;;;;;;;;;;;;;;
27/6/2025;1;Personal Limpieza;Limpieza;Pago José;31.5;31.5;;;;;;;;;;;;;;;
28/6/2025;1;Empresa;Limpieza;Polos Operarios;102;102;;;;;;;;;;;;;;;
30/6/2025;1;Taxis;Limpieza;TAXIS JUNIO;2243.9;2243.9;;;;;;;;;;;;;;;
30/6/2025;1;Clases;Clases;Profesor Jorge Fernandez;1785;1785;;;;;;;;;;;;;;;
30/6/2025;1;Clases;Clases;Profesora Lizbeth;975;975;;;;;;;;;;;;;;;
30/6/2025;1;Clases;Clases;Profesora Celia;1286.25;1286.25;;;;;;;;;;;;;;;
30/6/2025;1;Clases;Clases;Profesora Melisa;112.5;112.5;;;;;;;;;;;;;;;
30/6/2025;1;Colchón;Limpieza;Google Ads;462.43;647.402;;;;;;;;;;;;;;;
30/6/2025;1;Mueble;Limpieza;Google Ads;231.215;323.701;;;;;;;;;;;;;;;
30/6/2025;1;Alfombra;Limpieza;Google Ads;231.215;323.701;;;;;;;;;;;;;;;
30/6/2025;1;Inmueble;Limpieza;Google Ads;1486.84;2081.576;;;;;;;;;;;;;;;
30/6/2025;1;Pisos;Limpieza;Google Ads;318.66;446.124;;;;;;;;;;;;;;;
30/6/2025;1;Baño;Limpieza;Google Ads;246.9866667;345.7813333;;;;;;;;;;;;;;;
30/6/2025;1;Cocina;Limpieza;Google Ads;246.9866667;345.7813333;;;;;;;;;;;;;;;
30/6/2025;1;Ventanas;Limpieza;Google Ads;246.9866667;345.7813333;;;;;;;;;;;;;;;
30/6/2025;1;Marketing;Marketing;Google Ads;992.24;1389.136;;;;;;;;;;;;;;;
30/6/2025;1;Clases;Clases;Google Ads;1988.44;2783.816;;;;;;;;;;;;;;;
30/6/2025;1;Personal Limpieza;Limpieza;Pago Jesús;569.12;569.12;;;;;;;;;;;;;;;
30/6/2025;1;Personal Limpieza;Limpieza;Pago Rosa;365.6;365.6;;;;;;;;;;;;;;;
30/6/2025;1;Personal Limpieza;Limpieza;Pago Luis Miguel;446.73;446.73;;;;;;;;;;;;;;;
30/6/2025;1;Personal Marketing;Empresa;Pago Harumi;1746.77;1746.77;;;;;;;;;;;;;;;
30/6/2025;1;Personal Marketing;Empresa;Pago Mario;1412.15;1412.15;;;;;;;;;;;;;;;
30/6/2025;1;Personal Marketing;Empresa;Pago Saul;1048.6;1048.6;;;;;;;;;;;;;;;
30/6/2025;1;Personal Marketing;Marketing;Pago Camila;686.64;686.64;;;;;;;;;;;;;;;
30/6/2025;1;Empresa;Empresa;Pago Navid;2017.55;2017.55;;;;;;;;;;;;;;;
30/6/2025;1;Empresa;Empresa;Pago Daniela;1600;1600;;;;;;;;;;;;;;;
30/6/2025;1;Empresa;Empresa;Pago Andrea;2039.68;2039.68;;;;;;;;;;;;;;;
1/7/2025;1;Medicamento;Medicamento;Ciclofosfamida 1g;120;120;;;;;;;;;;;;;;;
2/7/2025;10;Inmueble;Limpieza;Antihongos sapolio;11;110;;;;;;;;;;;;;;;
2/7/2025;3;Empresa;Empresa;Plumones de pizarra;4;12;;;;;;;;;;;;;;;
2/7/2025;2;Medicamento;Medicamento;blister de voriconazol;100;200;;;;;;;;;;;;;;;
2/7/2025;1;Medicamento;Medicamento;Pago Ricardo;60;60;;;;;;;;;;;;;;;
2/7/2025;1;Clases;Clases;Pago Luis Angel;131.25;131.25;;;;;;;;;;;;;;;
3/7/2025;1;Clases;Clases;Pago Romina;280;280;;;;;;;;;;;;;;;
4/7/2025;12;Inmueble;Limpieza;Trapiador;4;48;;;;;;;;;;;;;;;
4/7/2025;1;Inmueble;Limpieza;Carmelita;12;12;;;;;;;;;;;;;;;
4/7/2025;1;Inmueble;Limpieza;Esponja Fierro;18;18;;;;;;;;;;;;;;;
4/7/2025;1;Inmueble;Limpieza;Sacagrasa galon;9;9;;;;;;;;;;;;;;;
4/7/2025;1;Inmueble;Limpieza;Quitasarro galon;9;9;;;;;;;;;;;;;;;
4/7/2025;1;Inmueble;Limpieza;Detergente 4 kilo;21;21;;;;;;;;;;;;;;;
4/7/2025;3;Inmueble;Limpieza;Silicona de cuero;14;42;;;;;;;;;;;;;;;
4/7/2025;6;Inmueble;Limpieza;Antihongos sapolio;10;60;;;;;;;;;;;;;;;
4/7/2025;1;Inmueble;Limpieza;Bolsas 26/40;15;15;;;;;;;;;;;;;;;
4/7/2025;1;Inmueble;Limpieza;Caja de guantes;20;20;;;;;;;;;;;;;;;
4/7/2025;1;Inmueble;Limpieza;Escoba;12;12;;;;;;;;;;;;;;;
4/7/2025;1;Inmueble;Limpieza;Lejia color galon sapolio;18;18;;;;;;;;;;;;;;;
4/7/2025;1;Inmueble;Limpieza;Limpia Vidirio;30;30;;;;;;;;;;;;;;;
4/7/2025;1;Inmueble;Limpieza;Almuerzo Operarios;19;19;;;;;;;;;;;;;;;
5/7/2025;5;Medicamento;Medicamento;Filgastrim;60;300;;;;;;;;;;;;;;;
7/7/2025;1;Empresa;Limpieza;Liquidación Rosa;425;425;;;;;;;;;;;;;;;
8/7/2025;1;Clases;Clases;Profesor Martin;337.5;337.5;;;;;;;;;;;;;;;
8/7/2025;1;Clases;Clases;Profesor leonardo;37.5;37.5;;;;;;;;;;;;;;;
8/7/2025;1;Clases;Clases;Profesor Jackson Rojo;180;180;;;;;;;;;;;;;;;
